"Year Dx (2000-2021 group only) for DevCan","Age recode with <1 year olds DevCan","Combined Summary Stage (2004+)","Crude Rate","Count","Population"
2000-2021,00 years,In situ,0.0000000,0,23639727
2000-2021,00 years,Localized,0.0000000,0,23639727
2000-2021,00 years,Regional,0.0000000,0,23639727
2000-2021,00 years,Distant,0.0000000,0,23639727
2000-2021,00 years,N/A,0.0000000,0,23639727
2000-2021,00 years,Unknown/unstaged,0.0000000,0,23639727
2000-2021,00 years,Blank(s),0.0000000,0,23639727
2000-2021,01-04 years,In situ,0.0000000,0,95078718
2000-2021,01-04 years,Localized,0.0000000,0,95078718
2000-2021,01-04 years,Regional,0.0000000,0,95078718
2000-2021,01-04 years,Distant,0.0000000,0,95078718
2000-2021,01-04 years,N/A,0.0000000,0,95078718
2000-2021,01-04 years,Unknown/unstaged,0.0000000,0,95078718
2000-2021,01-04 years,Blank(s),0.0000000,0,95078718
2000-2021,05-09 years,In situ,0.0000000,0,120514737
2000-2021,05-09 years,Localized,0.0033191,4,120514737
2000-2021,05-09 years,Regional,0.0016595,2,120514737
2000-2021,05-09 years,Distant,0.0000000,0,120514737
2000-2021,05-09 years,N/A,0.0000000,0,120514737
2000-2021,05-09 years,Unknown/unstaged,0.0000000,0,120514737
2000-2021,05-09 years,Blank(s),0.0008298,1,120514737
2000-2021,10-14 years,In situ,0.0000000,0,126061821
2000-2021,10-14 years,Localized,0.0222113,28,126061821
2000-2021,10-14 years,Regional,0.0079326,10,126061821
2000-2021,10-14 years,Distant,0.0007933,1,126061821
2000-2021,10-14 years,N/A,0.0000000,0,126061821
2000-2021,10-14 years,Unknown/unstaged,0.0007933,1,126061821
2000-2021,10-14 years,Blank(s),0.0000000,0,126061821
2000-2021,15-19 years,In situ,0.0000000,0,127233940
2000-2021,15-19 years,Localized,0.0361539,46,127233940
2000-2021,15-19 years,Regional,0.0102174,13,127233940
2000-2021,15-19 years,Distant,0.0055017,7,127233940
2000-2021,15-19 years,N/A,0.0000000,0,127233940
2000-2021,15-19 years,Unknown/unstaged,0.0007860,1,127233940
2000-2021,15-19 years,Blank(s),0.0015719,2,127233940
2000-2021,20-24 years,In situ,0.0000000,0,128327765
2000-2021,20-24 years,Localized,0.0514308,66,128327765
2000-2021,20-24 years,Regional,0.0085718,11,128327765
2000-2021,20-24 years,Distant,0.0109096,14,128327765
2000-2021,20-24 years,N/A,0.0000000,0,128327765
2000-2021,20-24 years,Unknown/unstaged,0.0046755,6,128327765
2000-2021,20-24 years,Blank(s),0.0031170,4,128327765
2000-2021,25-29 years,In situ,0.0000000,0,127530610
2000-2021,25-29 years,Localized,0.0478317,61,127530610
2000-2021,25-29 years,Regional,0.0219555,28,127530610
2000-2021,25-29 years,Distant,0.0274444,35,127530610
2000-2021,25-29 years,N/A,0.0000000,0,127530610
2000-2021,25-29 years,Unknown/unstaged,0.0023524,3,127530610
2000-2021,25-29 years,Blank(s),0.0086254,11,127530610
2000-2021,30-34 years,In situ,0.0000000,0,126720814
2000-2021,30-34 years,Localized,0.0576070,73,126720814
2000-2021,30-34 years,Regional,0.0528721,67,126720814
2000-2021,30-34 years,Distant,0.0978529,124,126720814
2000-2021,30-34 years,N/A,0.0000000,0,126720814
2000-2021,30-34 years,Unknown/unstaged,0.0047348,6,126720814
2000-2021,30-34 years,Blank(s),0.0370894,47,126720814
2000-2021,35-39 years,In situ,0.0000000,0,126840312
2000-2021,35-39 years,Localized,0.0567643,72,126840312
2000-2021,35-39 years,Regional,0.1158938,147,126840312
2000-2021,35-39 years,Distant,0.2988009,379,126840312
2000-2021,35-39 years,N/A,0.0000000,0,126840312
2000-2021,35-39 years,Unknown/unstaged,0.0118259,15,126840312
2000-2021,35-39 years,Blank(s),0.1237777,157,126840312
2000-2021,40-44 years,In situ,0.0000000,0,126891449
2000-2021,40-44 years,Localized,0.1126947,143,126891449
2000-2021,40-44 years,Regional,0.3506934,445,126891449
2000-2021,40-44 years,Distant,0.7746779,983,126891449
2000-2021,40-44 years,N/A,0.0000000,0,126891449
2000-2021,40-44 years,Unknown/unstaged,0.0299469,38,126891449
2000-2021,40-44 years,Blank(s),0.2703098,343,126891449
2000-2021,45-49 years,In situ,0.0000000,0,125839462
2000-2021,45-49 years,Localized,0.1962818,247,125839462
2000-2021,45-49 years,Regional,0.8328071,1048,125839462
2000-2021,45-49 years,Distant,1.7991177,2264,125839462
2000-2021,45-49 years,N/A,0.0000000,0,125839462
2000-2021,45-49 years,Unknown/unstaged,0.0731090,92,125839462
2000-2021,45-49 years,Blank(s),0.5999708,755,125839462
2000-2021,50-54 years,In situ,0.0000000,0,120857608
2000-2021,50-54 years,Localized,0.3591003,434,120857608
2000-2021,50-54 years,Regional,1.7847449,2157,120857608
2000-2021,50-54 years,Distant,3.7887561,4579,120857608
2000-2021,50-54 years,N/A,0.0000000,0,120857608
2000-2021,50-54 years,Unknown/unstaged,0.1447985,175,120857608
2000-2021,50-54 years,Blank(s),1.0748186,1299,120857608
2000-2021,55-59 years,In situ,0.0000000,0,109380574
2000-2021,55-59 years,Localized,0.7432764,813,109380574
2000-2021,55-59 years,Regional,3.3835990,3701,109380574
2000-2021,55-59 years,Distant,6.9290183,7579,109380574
2000-2021,55-59 years,N/A,0.0000000,0,109380574
2000-2021,55-59 years,Unknown/unstaged,0.2761002,302,109380574
2000-2021,55-59 years,Blank(s),1.6072324,1758,109380574
2000-2021,60-64 years,In situ,0.0000000,0,91254750
2000-2021,60-64 years,Localized,1.2098000,1104,91254750
2000-2021,60-64 years,Regional,5.5602585,5074,91254750
2000-2021,60-64 years,Distant,11.2158545,10235,91254750
2000-2021,60-64 years,N/A,0.0000000,0,91254750
2000-2021,60-64 years,Unknown/unstaged,0.5007958,457,91254750
2000-2021,60-64 years,Blank(s),2.3330292,2129,91254750
2000-2021,65-69 years,In situ,0.0000000,0,72471380
2000-2021,65-69 years,Localized,1.9718129,1429,72471380
2000-2021,65-69 years,Regional,8.1728815,5923,72471380
2000-2021,65-69 years,Distant,16.0987689,11667,72471380
2000-2021,65-69 years,N/A,0.0000000,0,72471380
2000-2021,65-69 years,Unknown/unstaged,0.7671994,556,72471380
2000-2021,65-69 years,Blank(s),3.7159497,2693,72471380
2000-2021,70-74 years,In situ,0.0000000,0,56139713
2000-2021,70-74 years,Localized,3.0922851,1736,56139713
2000-2021,70-74 years,Regional,10.8693110,6102,56139713
2000-2021,70-74 years,Distant,20.5077643,11513,56139713
2000-2021,70-74 years,N/A,0.0000000,0,56139713
2000-2021,70-74 years,Unknown/unstaged,1.1275441,633,56139713
2000-2021,70-74 years,Blank(s),5.5415317,3111,56139713
2000-2021,75-79 years,In situ,0.0000000,0,42274262
2000-2021,75-79 years,Localized,4.5606946,1928,42274262
2000-2021,75-79 years,Regional,13.4053198,5667,42274262
2000-2021,75-79 years,Distant,24.0169775,10153,42274262
2000-2021,75-79 years,N/A,0.0000000,0,42274262
2000-2021,75-79 years,Unknown/unstaged,1.6203713,685,42274262
2000-2021,75-79 years,Blank(s),7.2857570,3080,42274262
2000-2021,80-84 years,In situ,0.0000000,0,30563331
2000-2021,80-84 years,Localized,5.9515764,1819,30563331
2000-2021,80-84 years,Regional,13.9644465,4268,30563331
2000-2021,80-84 years,Distant,24.2316520,7406,30563331
2000-2021,80-84 years,N/A,0.0000000,0,30563331
2000-2021,80-84 years,Unknown/unstaged,2.5324465,774,30563331
2000-2021,80-84 years,Blank(s),6.9724076,2131,30563331
2000-2021,85+ years,In situ,0.0000000,0,29772218
2000-2021,85+ years,Localized,6.8856140,2050,29772218
2000-2021,85+ years,Regional,9.9723843,2969,29772218
2000-2021,85+ years,Distant,16.8714336,5023,29772218
2000-2021,85+ years,N/A,0.0000000,0,29772218
2000-2021,85+ years,Unknown/unstaged,3.1808178,947,29772218
2000-2021,85+ years,Blank(s),4.1481626,1235,29772218
